"","FIPS","State","Year","Fentanyl_Total"
"451",47,"Tennessee",2018,1145
"452",48,"Texas",2018,260
"453",49,"Utah",2018,28
"454",50,"Vermont",2018,682
"455",51,"Virginia",2018,2684
"456",53,"Washington",2018,288
"457",54,"West Virginia",2018,564
"458",55,"Wisconsin",2018,580
"459",56,"Wyoming",2018,26
"460",1,"Alabama",2019,139
"461",2,"Alaska",2019,9
"462",4,"Arizona",2019,3229
"463",5,"Arkansas",2019,305
"464",6,"California",2019,2933
"465",8,"Colorado",2019,275
"466",9,"Connecticut",2019,492
"467",10,"Delaware",2019,47
"468",11,"District of
Columbia",2019,100
"469",12,"Florida",2019,4387
"470",13,"Georgia",2019,203
"471",15,"Hawaii",2019,4
"472",16,"Idaho",2019,57
"473",17,"Illinois",2019,2458
"474",18,"Indiana",2019,2040
"475",19,"Iowa",2019,461
"476",20,"Kansas",2019,158
"477",21,"Kentucky",2019,3208
"478",22,"Louisiana",2019,468
"479",23,"Maine",2019,384
"480",24,"Maryland",2019,5887
"481",25,"Massachusetts",2019,8899
"482",26,"Michigan",2019,1736
"483",27,"Minnesota",2019,590
"484",28,"Mississippi",2019,139
"485",29,"Missouri",2019,3456
"486",30,"Montana",2019,27
"487",31,"Nebraska",2019,16
"488",32,"Nevada",2019,83
"489",33,"New
Hampshire",2019,1455
"490",34,"New Jersey",2019,9754
"491",35,"New Mexico",2019,122
"492",36,"New York",2019,6899
"493",37,"North
Carolina",2019,373
"494",38,"North Dakota",2019,171
"495",39,"Ohio",2019,17064
"496",40,"Oklahoma",2019,114
"497",41,"Oregon",2019,194
"498",42,"Pennsylvania",2019,11808
"499",44,"Rhode Island",2019,643
"500",45,"South
Carolina",2019,1246
"501",46,"South Dakota",2019,7
"502",47,"Tennessee",2019,1970
"503",48,"Texas",2019,419
"504",49,"Utah",2019,68
"505",50,"Vermont",2019,326
"506",51,"Virginia",2019,3342
"507",53,"Washington",2019,586
"508",54,"West Virginia",2019,1100
"509",55,"Wisconsin",2019,585
"510",56,"Wyoming",2019,23
"511",1,"Alabama",2020,116
"512",2,"Alaska",2020,54
"513",4,"Arizona",2020,7936
"514",5,"Arkansas",2020,424
"515",6,"California",2020,4454
"516",8,"Colorado",2020,649
"517",9,"Connecticut",2020,314
"518",10,"Delaware",2020,12
"519",11,"District of
Columbia",2020,96
"520",12,"Florida",2020,6396
"521",13,"Georgia",2020,591
"522",15,"Hawaii",2020,22
"523",16,"Idaho",2020,151
